ticket,symbol,side,entry,sl,tp,lot,pnl,result,trigger,timestamp
7857634076,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,REACTIVE,2026-03-24 00:51:13
7858341533,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,REACTIVE,2026-03-24 01:39:39
7871090579,XAUUSD,SELL,4396.02,4405.02,4378.02,0.3,0,OPEN,STRUCT_BREAK_M5,2026-03-24 16:31:55
7871090579,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-24 16:35:01
7880522446,XAUUSD,SELL,4396.38,4405.38,4378.38,0.29,0,OPEN,STRUCT_BREAK_M5,2026-03-24 22:35:30
7880523120,XAUUSD,SELL,4402.47,4411.47,4384.47,0.29,0,OPEN,STRUCT_BREAK_M5,2026-03-24 22:36:20
7880523120,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-24 22:40:40
7880522446,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-24 22:41:25
7885087190,XAUUSD,BUY,4484.04,4475.04,4502.04,0.29,0,OPEN,STRUCT_BREAK_M5,2026-03-25 03:36:03
7885087190,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 03:55:26
7888758857,XAUUSD,SELL,4579.95,4588.95,4561.95,0.31,0,OPEN,STRUCT_BREAK_M5,2026-03-25 08:36:23
7888758857,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 08:41:35
7890011540,XAUUSD,SELL,4565.76,4574.76,4547.76,0.31,0,OPEN,STRUCT_BREAK_M5,2026-03-25 10:48:18
7890011540,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 10:57:11
55912939346,XAUUSD,SELL,4565.76,4574.76,4547.76,0.03,0,OPEN,STRUCT_BREAK_M5,2026-03-25 11:15:34
55912939616,XAUUSD,SELL,4566.41,4575.41,4548.41,0.03,0,OPEN,STRUCT_BREAK_M5,2026-03-25 11:17:35
55912939346,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 11:21:30
55912939616,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 11:21:30
55913242849,XAUUSD,SELL,4549.38,4558.38,4531.38,0.03,0,OPEN,STRUCT_BREAK_M5,2026-03-25 11:49:13
55913242849,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 12:18:12
55914797402,XAUUSD,SELL,4543.3,4552.3,4525.3,0.03,0,OPEN,STRUCT_BREAK_M5,2026-03-25 13:19:17
55914797402,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,STRUCT_BREAK_M5,2026-03-25 13:32:20
55951763647,XAUUSD,CLOSED,0,0,0,0,0.0,LOSS,REACTIVE,2026-03-26 22:30:13
56209351149,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-13 17:58:24
56209351149,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-13 18:03:00
56209351149,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-13 18:10:48
56248073493,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-15 16:25:42
56248073493,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-15 16:25:43
56265877299,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-16 17:26:55
56265877299,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-16 17:26:55
56265877713,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-16 17:29:21
56265877713,XAUUSD,CLOSED,0,0,0,0,0.0,BREAKEVEN,REACTIVE,2026-04-16 17:29:22
